model,condition,Intent_Fidelity,Tool_F1,Hallucination_Rate,First_Call_Acc,Min_Req_Met,Format_Compliance,Func_Correct_Rate,Avg_Tokens
cerebras,a,1.3125,0.4828,0.1667,0.4375,0.125,0.8333,0.6154,512.4167
cerebras,b,1.3333,0.2916,0.0833,0.1458,0.1042,0.6042,0.6154,552.7083
cerebras,c,1.1875,0.5924,0.1667,0.5625,0.1875,1.0,0.7308,576.9583
gemini,a,1.0625,0.2306,0.0417,0.3333,0.0625,0.7083,0.6154,567.2083
gemini,b,1.0833,0.2368,0.0417,0.3333,0.0,0.75,0.6538,607.7083
gemini,c,1.0417,0.2201,0.0,0.2917,0.0625,0.6042,0.6154,704.9375
groq,a,1.4583,0.5239,0.125,0.4375,0.2292,0.8958,0.8077,524.5833
groq,b,1.5417,0.5549,0.0833,0.4167,0.1875,0.875,0.6923,522.125
groq,c,1.3958,0.6112,0.0833,0.4167,0.2708,0.9583,0.7692,602.625
