condition,Intent_Fidelity,Tool_F1,Hallucination_Rate,First_Call_Acc,Min_Req_Met,Format_Compliance,Tool_Halluc_Rate,Func_Correct_Rate,Redundancy,Kendall_Tau,Avg_Tokens,Avg_Output_Tokens,Avg_Latency,CPSTC,CPSTC_CI_lower,CPSTC_CI_upper
a,1.3819,0.3951,0.1111,0.3681,0.1319,0.7153,0.0,0.7692,0.7014,0.2258,637.3056,472.4931,3.0238,4830.1053,3252.5751,8096.68
b,1.4167,0.3391,0.0694,0.25,0.1111,0.6528,0.0,0.6667,0.5625,0.0169,659.6875,502.4306,3.3521,5937.1875,3787.6068,10377.0725
c,1.2986,0.4838,0.0833,0.4306,0.1875,0.875,0.0,0.6923,0.9931,0.2556,645.9375,400.5972,3.2143,3445.0,2549.9243,5117.8684
